,left,right,label
0,0725a_num4.png,0725a_num5.png,1
1,0725a_num4.png,0725b_num3.png,1
2,0725a_num4.png,0725c_num1.png,1
3,0725a_num4.png,0725b_num1.png,1
4,0725a_num4.png,0725a_num1.png,1
5,0725a_num4.png,0725c_num4.png,1
6,0725a_num4.png,0725b_num4.png,1
7,0725a_num4.png,0725a_num2.png,1
8,0725a_num4.png,0725b_num5.png,1
9,0725a_num4.png,0725c_num2.png,1
10,0725a_num4.png,0725c_num3.png,1
11,0725a_num4.png,0725a_num3.png,1
12,1173b_num2.png,1173a_num1.png,1
13,1173b_num2.png,1173a_num2.png,1
14,1173b_num2.png,1173b_num3.png,1
15,1173b_num2.png,1173b_num1.png,1
16,1173b_num2.png,1173c_num1.png,1
17,1173b_num2.png,1173c_num4.png,1
18,0144a_num1.png,0144b_num1.png,1
19,0144a_num1.png,0144c_num1.png,1
20,0144a_num1.png,0144a_num2.png,1
21,0144a_num1.png,0144b_num3.png,1
22,1169c_num1.png,1169c_num4.png,1
23,1169c_num1.png,1169b_num2.png,1
24,1169c_num1.png,1169b_num3.png,1
25,1169c_num1.png,1169a_num2.png,1
26,1169c_num1.png,1169c_num3.png,1
27,1169c_num1.png,1169c_num5.png,1
28,1169c_num1.png,1169a_num1.png,1
29,1169c_num1.png,1169b_num4.png,1
30,1169c_num1.png,1169a_num3.png,1
31,1169c_num1.png,1169c_num2.png,1
32,1169c_num1.png,1169b_num1.png,1
33,1469b_num3.png,1469b_num2.png,1
34,1469b_num3.png,1469c_num2.png,1
35,1469b_num3.png,1469a_num1.png,1
36,1469b_num3.png,1469c_num1.png,1
37,1469b_num3.png,1469a_num4.png,1
38,1469b_num3.png,1469b_num1.png,1
39,1469b_num3.png,1469a_num2.png,1
40,0219c_num3.png,0219a_num1.png,1
41,0219c_num3.png,0219a_num2.png,1
42,0219c_num3.png,0219b_num2.png,1
43,0219c_num3.png,0219b_num4.png,1
44,0219c_num3.png,0219b_num1.png,1
45,0219c_num3.png,0219c_num6.png,1
46,0219c_num3.png,0219c_num1.png,1
47,1377a_num1.png,1377b_num2.png,1
48,1377a_num1.png,1377b_num1.png,1
49,1377a_num1.png,1377c_num1.png,1
50,1377a_num1.png,1377c_num2.png,1
51,1377a_num1.png,1377a_num3.png,1
52,1377a_num1.png,1377a_num2.png,1
53,0911b_num1.png,0911a_num4.png,1
54,0911b_num1.png,0911a_num5.png,1
55,0911b_num1.png,0911c_num2.png,1
56,0911b_num1.png,0911a_num1.png,1
57,0911b_num1.png,0911b_num3.png,1
58,0911b_num1.png,0911c_num1.png,1
59,0911b_num1.png,0911bb_num1.png,1
60,0911b_num1.png,0911cc_num1.png,1
61,0116c_num2.png,0116c_num1.png,1
62,0116c_num2.png,0116b_num4.png,1
63,0116c_num2.png,0116a_num2.png,1
64,0116c_num2.png,0116b_num3.png,1
65,0398b_num1.png,0398a_num3.png,1
66,0398b_num1.png,0398c_num2.png,1
67,0398b_num1.png,0398a_num1.png,1
68,0398b_num1.png,0398c_num1.png,1
69,0398b_num1.png,0398b_num3.png,1
70,0398b_num1.png,0398a_num2.png,1
71,0437cc_num1.png,0437c_num4.png,1
72,0437cc_num1.png,0437b_num4.png,1
73,0437cc_num1.png,0437a_num1.png,1
74,0437cc_num1.png,0437b_num6.png,1
75,0437cc_num1.png,0437a_num4.png,1
76,0437cc_num1.png,0437b_num3.png,1
77,0437cc_num1.png,0437b_num2.png,1
78,0437cc_num1.png,0437a_num5.png,1
79,0437cc_num1.png,0437c_num1.png,1
80,0437cc_num1.png,0437c_num2.png,1
81,0437cc_num1.png,0437a_num6.png,1
82,0437cc_num1.png,0437a_num3.png,1
83,0437cc_num1.png,0437b_num1.png,1
84,0437cc_num1.png,0437b_num5.png,1
85,0437cc_num1.png,0437c_num3.png,1
86,0655a_num1.png,0655b_num2.png,1
87,0655a_num1.png,0655c_num1.png,1
88,0655a_num1.png,0655b_num3.png,1
89,0655a_num1.png,0655a_num4.png,1
90,0655a_num1.png,0655b_num1.png,1
91,0655a_num1.png,0655a_num2.png,1
92,0655a_num1.png,0655c_num2.png,1
93,0655a_num1.png,0655a_num3.png,1
94,1453b_num4.png,1453c_num2.png,1
95,1453b_num4.png,1453a_num5.png,1
96,1453b_num4.png,1453b_num1.png,1
97,1453b_num4.png,1453a_num6.png,1
98,1453b_num4.png,1453c_num1.png,1
99,1453b_num4.png,1453c_num3.png,1
100,1453b_num4.png,1453a_num1.png,1
101,1453b_num4.png,1453b_num5.png,1
102,1453b_num4.png,1453a_num2.png,1
103,1453b_num4.png,1453c_num8.png,1
104,1453b_num4.png,1453b_num3.png,1
105,1453b_num4.png,1453c_num5.png,1
106,1453b_num4.png,1453c_num7.png,1
107,1370b_num2.png,1370a_num1.png,1
108,1370b_num2.png,1370c_num2.png,1
109,1370b_num2.png,1370a_num3.png,1
110,1370b_num2.png,1370a_num2.png,1
111,1370b_num2.png,1370b_num1.png,1
112,1370b_num2.png,1370c_num1.png,1
113,1271a_num3.png,1271b_num6.png,1
114,1271a_num3.png,1271b_num5.png,1
115,1271a_num3.png,1271b_num2.png,1
116,1271a_num3.png,1271a_num5.png,1
117,1271a_num3.png,1271c_num2.png,1
118,1271a_num3.png,1271c_num1.png,1
119,1271a_num3.png,1271c_num4.png,1
120,1271a_num3.png,1271c_num3.png,1
121,1271a_num3.png,1271b_num4.png,1
122,1271a_num3.png,1271b_num3.png,1
123,0078b_num5.png,0078c_num1.png,1
124,0078b_num5.png,0078b_num1.png,1
125,0078b_num5.png,0078b_num2.png,1
126,0078b_num5.png,0078a_num2.png,1
127,0078b_num5.png,0078b_num3.png,1
128,0078b_num5.png,0078c_num2.png,1
129,0078b_num5.png,0078b_num6.png,1
130,1179c_num5.png,1179c_num1.png,1
131,1179c_num5.png,1179a_num3.png,1
132,1179c_num5.png,1179a_num4.png,1
133,1179c_num5.png,1179a_num1.png,1
134,1179c_num5.png,1179b_num2.png,1
135,1179c_num5.png,1179c_num2.png,1
136,1179c_num5.png,1179b_num5.png,1
137,1179c_num5.png,1179b_num3.png,1
138,1179c_num5.png,1179c_num6.png,1
139,0807b_num5.png,0807a_num3.png,1
140,0807b_num5.png,0807b_num3.png,1
141,0807b_num5.png,0807a_num2.png,1
142,0807b_num5.png,0807b_num2.png,1
143,0807b_num5.png,0807c_num2.png,1
144,0831c_num1.png,0831b_num2.png,1
145,0831c_num1.png,0831a_num2.png,1
146,0831c_num1.png,0831a_num1.png,1
147,0831c_num1.png,0831b_num1.png,1
148,0485c_num1.png,0485b_num1.png,1
149,0485c_num1.png,0485b_num5.png,1
150,0485c_num1.png,0485c_num2.png,1
151,0485c_num1.png,0485a_num3.png,1
152,0485c_num1.png,0485a_num4.png,1
153,0485c_num1.png,0485b_num3.png,1
154,0485c_num1.png,0485a_num2.png,1
155,0485c_num1.png,0485b_num2.png,1
156,0485c_num1.png,0485c_num3.png,1
157,0485c_num1.png,0485b_num4.png,1
158,0485c_num1.png,0485a_num1.png,1
159,0225c_num2.png,0225a_num2.png,1
160,0225c_num2.png,0225c_num3.png,1
161,0225c_num2.png,0225b_num1.png,1
162,0225c_num2.png,0225a_num3.png,1
163,0843a_num1.png,0843a_num3.png,1
164,0843a_num1.png,0843b_num1.png,1
165,0843a_num1.png,0843a_num4.png,1
166,0843a_num1.png,0843a_num5.png,1
167,1515c_num2.png,1515a_num7.png,1
168,1515c_num2.png,1515a_num1.png,1
169,1515c_num2.png,1515b_num7.png,1
170,1515c_num2.png,1515b_num5.png,1
171,1515c_num2.png,1515a_num6.png,1
172,1515c_num2.png,1515b_num6.png,1
173,1515c_num2.png,1515c_num7.png,1
174,1515c_num2.png,1515c_num3.png,1
175,1515c_num2.png,1515a_num3.png,1
176,1515c_num2.png,1515b_num1.png,1
177,1515c_num2.png,1515c_num1.png,1
178,1419a_num1.png,1419a_num2.png,1
179,1419a_num1.png,1419b_num1.png,1
180,1419a_num1.png,1419c_num1.png,1
181,0217c_num2.png,0217c_num5.png,1
182,0217c_num2.png,0217d_num2.png,1
183,0217c_num2.png,0217a_num3.png,1
184,0217c_num2.png,0217d_num5.png,1
185,0217c_num2.png,0217e_num1.png,1
186,0217c_num2.png,0217b_num3.png,1
187,0217c_num2.png,0217a_num4.png,1
188,0217c_num2.png,0217f_num2.png,1
189,0217c_num2.png,0217b_num2.png,1
190,0217c_num2.png,0217c_num6.png,1
191,0217c_num2.png,0217b_num8.png,1
192,0984b_num1.png,0984b_num2.png,1
193,0984b_num1.png,0984a_num3.png,1
194,0984b_num1.png,0984c_num2.png,1
195,0984b_num1.png,0984a_num1.png,1
196,0984b_num1.png,0984a_num5.png,1
197,0984b_num1.png,0984c_num1.png,1
198,0984b_num1.png,0984b_num3.png,1
199,0984b_num1.png,0984a_num2.png,1
200,0984b_num1.png,0984a_num4.png,1
201,0371a_num5.png,0371b_num2.png,1
202,0371a_num5.png,0371c_num4.png,1
203,0371a_num5.png,0371a_num4.png,1
